answer,score,correct,cleaned_text,tokens,stemmed_tokens,lemmatized_tokens
High risk problems are address in the prototype program to make sure that the program is feasible. A prototype may also be used to show a company that the software can be possibly programmed.,3.5,0.0,high risk problems are address in the prototype program to make sure that the program is feasible a prototype may also be used to show a company that the software can be possibly programmed,"['high', 'risk', 'problems', 'address', 'prototype', 'program', 'make', 'sure', 'program', 'feasible', 'prototype', 'may', 'also', 'used', 'show', 'company', 'software', 'possibly', 'programmed']",high risk problem address prototyp program make sure program feasibl prototyp may also use show compani softwar possibl program,high risk problem address prototype program make sure program feasible prototype may also used show company software possibly programmed
To simulate portions of the desired final product with a quick and easy program that does a small specific job. It is a way to help see what the problem is and how you may solve it in the final project.,5.0,1.0,to simulate portions of the desired final product with a quick and easy program that does a small specific job it is a way to help see what the problem is and how you may solve it in the final project,"['simulate', 'portions', 'desired', 'final', 'product', 'quick', 'easy', 'program', 'small', 'specific', 'job', 'way', 'help', 'see', 'problem', 'may', 'solve', 'final', 'project']",simul portion desir final product quick easi program small specif job way help see problem may solv final project,simulate portion desired final product quick easy program small specific job way help see problem may solve final project
A prototype program simulates the behaviors of portions of the desired software product to allow for error checking.,4.0,1.0,a prototype program simulates the behaviors of portions of the desired software product to allow for error checking,"['prototype', 'program', 'simulates', 'behaviors', 'portions', 'desired', 'software', 'product', 'allow', 'error', 'checking']",prototyp program simul behavior portion desir softwar product allow error check,prototype program simulates behavior portion desired software product allow error checking
"Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product. Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.",5.0,1.0,defined in the specification phase a prototype stimulates the behavior of portions of the desired software product meaning the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving,"['defined', 'specification', 'phase', 'prototype', 'stimulates', 'behavior', 'portions', 'desired', 'software', 'product', 'meaning', 'role', 'prototype', 'temporary', 'solution', 'program', 'refined', 'used', 'extensively', 'problem', 'solving']",defin specif phase prototyp stimul behavior portion desir softwar product mean role prototyp temporari solut program refin use extens problem solv,defined specification phase prototype stimulates behavior portion desired software product meaning role prototype temporary solution program refined used extensively problem solving
It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.,3.0,0.0,it is used to let the users have a first idea of the completed program and allow the clients to evaluate the program this can generate much feedback including software specifications and project estimations of the total project,"['used', 'let', 'users', 'first', 'idea', 'completed', 'program', 'allow', 'clients', 'evaluate', 'program', 'generate', 'much', 'feedback', 'including', 'software', 'specifications', 'project', 'estimations', 'total', 'project']",use let user first idea complet program allow client evalu program gener much feedback includ softwar specif project estim total project,used let user first idea completed program allow client evaluate program generate much feedback including software specification project estimation total project
To find problem and errors in a program before it is finalized,2.0,0.0,to find problem and errors in a program before it is finalized,"['find', 'problem', 'errors', 'program', 'finalized']",find problem error program final,find problem error program finalized
"To address major issues in the creation of the program. There is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible.",2.5,0.0,to address major issues in the creation of the program there is no way to account for all possible bugs in the program but it is possible to prove the program is tangible,"['address', 'major', 'issues', 'creation', 'program', 'way', 'account', 'possible', 'bugs', 'program', 'possible', 'prove', 'program', 'tangible']",address major issu creation program way account possibl bug program possibl prove program tangibl,address major issue creation program way account possible bug program possible prove program tangible
you can break the whole program into prototype programs to simulate parts of the final program,5.0,1.0,you can break the whole program into prototype programs to simulate parts of the final program,"['break', 'whole', 'program', 'prototype', 'programs', 'simulate', 'parts', 'final', 'program']",break whole program prototyp program simul part final program,break whole program prototype program simulate part final program
To provide an example or model of how the finished program should perfom. Provides forsight of some of the challanges that would be encountered. Provides opportunity To introduce changes To the finished program.,3.5,0.0,to provide an example or model of how the finished program should perfom provides forsight of some of the challanges that would be encountered provides opportunity to introduce changes to the finished program,"['provide', 'example', 'model', 'finished', 'program', 'perfom', 'provides', 'forsight', 'challanges', 'would', 'encountered', 'provides', 'opportunity', 'introduce', 'changes', 'finished', 'program']",provid exampl model finish program perfom provid forsight challang would encount provid opportun introduc chang finish program,provide example model finished program perfom provides forsight challanges would encountered provides opportunity introduce change finished program
Simulating the behavior of only a portion of the desired software product.,5.0,1.0,simulating the behavior of only a portion of the desired software product,"['simulating', 'behavior', 'portion', 'desired', 'software', 'product']",simul behavior portion desir softwar product,simulating behavior portion desired software product
A program that stimulates the behavior of portions of the desired software product.,5.0,1.0,a program that stimulates the behavior of portions of the desired software product,"['program', 'stimulates', 'behavior', 'portions', 'desired', 'software', 'product']",program stimul behavior portion desir softwar product,program stimulates behavior portion desired software product
A program that simulates the behavior of portions of the desired software product.,5.0,1.0,a program that simulates the behavior of portions of the desired software product,"['program', 'simulates', 'behavior', 'portions', 'desired', 'software', 'product']",program simul behavior portion desir softwar product,program simulates behavior portion desired software product
To lay out the basics and give you a starting point in the actual problem solving.,2.0,0.0,to lay out the basics and give you a starting point in the actual problem solving,"['lay', 'basics', 'give', 'starting', 'point', 'actual', 'problem', 'solving']",lay basic give start point actual problem solv,lay basic give starting point actual problem solving
To simulate problem solving for parts of the problem,4.5,1.0,to simulate problem solving for parts of the problem,"['simulate', 'problem', 'solving', 'parts', 'problem']",simul problem solv part problem,simulate problem solving part problem
A prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem.,2.0,0.0,a prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem,"['prototype', 'program', 'provides', 'basic', 'groundwork', 'enhance', 'improve', 'solution', 'problem']",prototyp program provid basic groundwork enhanc improv solut problem,prototype program provides basic groundwork enhance improve solution problem
"A prototype program is a part of the Specification phase of Software Problem Solvin. It is employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon.",4.5,1.0,a prototype program is a part of the specification phase of software problem solvin it is employed to illustrate how the key problem or problems will be solved in a program and sometimes serves as a base program to expand upon,"['prototype', 'program', 'part', 'specification', 'phase', 'software', 'problem', 'solvin', 'employed', 'illustrate', 'key', 'problem', 'problems', 'solved', 'program', 'sometimes', 'serves', 'base', 'program', 'expand', 'upon']",prototyp program part specif phase softwar problem solvin employ illustr key problem problem solv program sometim serv base program expand upon,prototype program part specification phase software problem solvin employed illustrate key problem problem solved program sometimes serf base program expand upon
Program that simulates the behavior of portions of the desired software product,5.0,1.0,program that simulates the behavior of portions of the desired software product,"['program', 'simulates', 'behavior', 'portions', 'desired', 'software', 'product']",program simul behavior portion desir softwar product,program simulates behavior portion desired software product
it provides a limited proof of concept to verify with the client before actually programming the whole application.,2.0,0.0,it provides a limited proof of concept to verify with the client before actually programming the whole application,"['provides', 'limited', 'proof', 'concept', 'verify', 'client', 'actually', 'programming', 'whole', 'application']",provid limit proof concept verifi client actual program whole applic,provides limited proof concept verify client actually programming whole application
It tests the main function of the program while leaving out the finer details.,2.0,0.0,it tests the main function of the program while leaving out the finer details,"['tests', 'main', 'function', 'program', 'leaving', 'finer', 'details']",test main function program leav finer detail,test main function program leaving finer detail
To get early feedback from users in early stages of development. To show users a first idea of what the program will do or look like. To make sure the program will meet requirements before intense programming begins.,2.5,0.0,to get early feedback from users in early stages of development to show users a first idea of what the program will do or look like to make sure the program will meet requirements before intense programming begins,"['get', 'early', 'feedback', 'users', 'early', 'stages', 'development', 'show', 'users', 'first', 'idea', 'program', 'look', 'like', 'make', 'sure', 'program', 'meet', 'requirements', 'intense', 'programming', 'begins']",get earli feedback user earli stage develop show user first idea program look like make sure program meet requir intens program begin,get early feedback user early stage development show user first idea program look like make sure program meet requirement intense programming begin
it simulates the behavior of portions of the desired software product,5.0,1.0,it simulates the behavior of portions of the desired software product,"['simulates', 'behavior', 'portions', 'desired', 'software', 'product']",simul behavior portion desir softwar product,simulates behavior portion desired software product
It simulates the behavior of portions of the desired software product.,5.0,1.0,it simulates the behavior of portions of the desired software product,"['simulates', 'behavior', 'portions', 'desired', 'software', 'product']",simul behavior portion desir softwar product,simulates behavior portion desired software product
A prototype program is used in problem solving to collect data for the problem.,1.5,0.0,a prototype program is used in problem solving to collect data for the problem,"['prototype', 'program', 'used', 'problem', 'solving', 'collect', 'data', 'problem']",prototyp program use problem solv collect data problem,prototype program used problem solving collect data problem
To ease the understanding of problem under discussion and to ease the understanding of the program itself,2.5,0.0,to ease the understanding of problem under discussion and to ease the understanding of the program itself,"['ease', 'understanding', 'problem', 'discussion', 'ease', 'understanding', 'program']",eas understand problem discuss eas understand program,ease understanding problem discussion ease understanding program
it simulates the behavior of portions of the desired software product,5.0,1.0,it simulates the behavior of portions of the desired software product,"['simulates', 'behavior', 'portions', 'desired', 'software', 'product']",simul behavior portion desir softwar product,simulates behavior portion desired software product
The role of a prototype program is to help spot key problems that may arise during the actual programing.,2.0,0.0,the role of a prototype program is to help spot key problems that may arise during the actual programing,"['role', 'prototype', 'program', 'help', 'spot', 'key', 'problems', 'may', 'arise', 'actual', 'programing']",role prototyp program help spot key problem may aris actual program,role prototype program help spot key problem may arise actual programing
"the prototype program gives a general idea of what the end product will do, without the time and effort to write out the entire program.",3.0,0.0,the prototype program gives a general idea of what the end product will do without the time and effort to write out the entire program,"['prototype', 'program', 'gives', 'general', 'idea', 'end', 'product', 'without', 'time', 'effort', 'write', 'entire', 'program']",prototyp program give gener idea end product without time effort write entir program,prototype program give general idea end product without time effort write entire program
to show that a certain part of the program works as it is supposed to,3.0,0.0,to show that a certain part of the program works as it is supposed to,"['show', 'certain', 'part', 'program', 'works', 'supposed']",show certain part program work suppos,show certain part program work supposed
"Prototype programming is an approach to programming that enables one to take an organized approach to developing an effective program with minimal errors and a strategic pattern when solving a problem. i. e. book gave an example of a costumer withdrawing money from a bank, the approach that was taking on a pseudo code level during the OOA or Design lvl before proceeding into creating a solution.",2.5,0.0,prototype programming is an approach to programming that enables one to take an organized approach to developing an effective program with minimal errors and a strategic pattern when solving a problem i e book gave an example of a costumer withdrawing money from a bank the approach that was taking on a pseudo code level during the ooa or design lvl before proceeding into creating a solution,"['prototype', 'programming', 'approach', 'programming', 'enables', 'one', 'take', 'organized', 'approach', 'developing', 'effective', 'program', 'minimal', 'errors', 'strategic', 'pattern', 'solving', 'problem', 'e', 'book', 'gave', 'example', 'costumer', 'withdrawing', 'money', 'bank', 'approach', 'taking', 'pseudo', 'code', 'level', 'ooa', 'design', 'lvl', 'proceeding', 'creating', 'solution']",prototyp program approach program enabl one take organ approach develop effect program minim error strateg pattern solv problem e book gave exampl costum withdraw money bank approach take pseudo code level ooa design lvl proceed creat solut,prototype programming approach programming enables one take organized approach developing effective program minimal error strategic pattern solving problem e book gave example costumer withdrawing money bank approach taking pseudo code level ooa design lvl proceeding creating solution
Refining and possibly the design if the testing phase reveals problems in the design. Production can be affected if the program is unworkable in its current form which will lead to a later production time than originally estimated. Also affects coding because after testing you may need to rewrite the code for the program to remove errors.,3.5,0.0,refining and possibly the design if the testing phase reveals problems in the design production can be affected if the program is unworkable in its current form which will lead to a later production time than originally estimated also affects coding because after testing you may need to rewrite the code for the program to remove errors,"['refining', 'possibly', 'design', 'testing', 'phase', 'reveals', 'problems', 'design', 'production', 'affected', 'program', 'unworkable', 'current', 'form', 'lead', 'later', 'production', 'time', 'originally', 'estimated', 'also', 'affects', 'coding', 'testing', 'may', 'need', 'rewrite', 'code', 'program', 'remove', 'errors']",refin possibl design test phase reveal problem design product affect program unwork current form lead later product time origin estim also affect code test may need rewrit code program remov error,refining possibly design testing phase reveals problem design production affected program unworkable current form lead later production time originally estimated also affect coding testing may need rewrite code program remove error
The implementation phase and the maintenance phase are effected,4.0,1.0,the implementation phase and the maintenance phase are effected,"['implementation', 'phase', 'maintenance', 'phase', 'effected']",implement phase mainten phase effect,implementation phase maintenance phase effected
"Verification, coding, refining the solution and maintenance are all influenced by the testing stage.",4.5,1.0,verification coding refining the solution and maintenance are all influenced by the testing stage,"['verification', 'coding', 'refining', 'solution', 'maintenance', 'influenced', 'testing', 'stage']",verif code refin solut mainten influenc test stage,verification coding refining solution maintenance influenced testing stage
"In RUP the stages in the software life cycle are influenced by the testing stage is: Elaboration phase-refined progject vision, iterative devilopment of core system, development of system requirements, more accurate time and cost estimates. Construction phase-iterative development of remaining system. Transition phase-testing and deployment of the system.",3.0,0.0,in rup the stages in the software life cycle are influenced by the testing stage is elaboration phase-refined progject vision iterative devilopment of core system development of system requirements more accurate time and cost estimates construction phase-iterative development of remaining system transition phase-testing and deployment of the system,"['rup', 'stages', 'software', 'life', 'cycle', 'influenced', 'testing', 'stage', 'elaboration', 'phase-refined', 'progject', 'vision', 'iterative', 'devilopment', 'core', 'system', 'development', 'system', 'requirements', 'accurate', 'time', 'cost', 'estimates', 'construction', 'phase-iterative', 'development', 'remaining', 'system', 'transition', 'phase-testing', 'deployment', 'system']",rup stage softwar life cycl influenc test stage elabor phase-refin progject vision iter devilop core system develop system requir accur time cost estim construct phase-it develop remain system transit phase-test deploy system,rup stage software life cycle influenced testing stage elaboration phase-refined progject vision iterative devilopment core system development system requirement accurate time cost estimate construction phase-iterative development remaining system transition phase-testing deployment system
"Refining the solution, Production and Maintenance are all influenced by the Testing stage.",3.0,0.0,refining the solution production and maintenance are all influenced by the testing stage,"['refining', 'solution', 'production', 'maintenance', 'influenced', 'testing', 'stage']",refin solut product mainten influenc test stage,refining solution production maintenance influenced testing stage
"Elaboration, Construction, and Transition are all affected by testing",2.0,0.0,elaboration construction and transition are all affected by testing,"['elaboration', 'construction', 'transition', 'affected', 'testing']",elabor construct transit affect test,elaboration construction transition affected testing
"Refining, Production, Maintenance",3.5,0.0,refining production maintenance,"['refining', 'production', 'maintenance']",refin product mainten,refining production maintenance
Refining the solution,4.0,1.0,refining the solution,"['refining', 'solution']",refin solut,refining solution
Verification Debugging,2.0,0.0,verification debugging,"['verification', 'debugging']",verif debug,verification debugging
Refining and Coding,5.0,1.0,refining and coding,"['refining', 'coding']",refin code,refining coding
"The second half of the Elaboration phase, Construction phase, and the Transition phase.",2.5,0.0,the second half of the elaboration phase construction phase and the transition phase,"['second', 'half', 'elaboration', 'phase', 'construction', 'phase', 'transition', 'phase']",second half elabor phase construct phase transit phase,second half elaboration phase construction phase transition phase
"The refining step, the production step, and the maintenance stage.",3.5,0.0,the refining step the production step and the maintenance stage,"['refining', 'step', 'production', 'step', 'maintenance', 'stage']",refin step product step mainten stage,refining step production step maintenance stage
"Elaboration, Construction, Transition",2.0,0.0,elaboration construction transition,"['elaboration', 'construction', 'transition']",elabor construct transit,elaboration construction transition
Refining.,3.0,0.0,refining,['refining'],refin,refining
"The testing stage has a direct influence on the final version of a program, being as it is the debugging and finalization of a software revision.",1.5,0.0,the testing stage has a direct influence on the final version of a program being as it is the debugging and finalization of a software revision,"['testing', 'stage', 'direct', 'influence', 'final', 'version', 'program', 'debugging', 'finalization', 'software', 'revision']",test stage direct influenc final version program debug final softwar revis,testing stage direct influence final version program debugging finalization software revision
"Directly: Refining, coding. Because Refining is right before the Testing Phase and Coding is right after the Testing Phase. Indirectly: Production, Maintenance. Because Refining occurs before these last two stages in the Software Life Cycle.",5.0,1.0,directly refining coding because refining is right before the testing phase and coding is right after the testing phase indirectly production maintenance because refining occurs before these last two stages in the software life cycle,"['directly', 'refining', 'coding', 'refining', 'right', 'testing', 'phase', 'coding', 'right', 'testing', 'phase', 'indirectly', 'production', 'maintenance', 'refining', 'occurs', 'last', 'two', 'stages', 'software', 'life', 'cycle']",directli refin code refin right test phase code right test phase indirectli product mainten refin occur last two stage softwar life cycl,directly refining coding refining right testing phase coding right testing phase indirectly production maintenance refining occurs last two stage software life cycle
"Testing, refining, production, and maintenance.",3.5,0.0,testing refining production and maintenance,"['testing', 'refining', 'production', 'maintenance']",test refin product mainten,testing refining production maintenance
